,Sediment,Water,Unknown,type
MXR2.6,0.798910912663371,0.0531683021683144,0.147920785168315,Roots
FRR1.1,0.143564381554455,0.483168314742574,0.37326730370297,Roots
MXR1.6,0.492079204623762,0.436633694574257,0.0712871008019801,Roots
ORR2.20,0.385742566613861,0.507920794584159,0.10633663880198,Roots
SFR1.6,0.494158404019802,0.16366336891089,0.342178227069307,Roots
BCR2.6,0.27762374,0.60188119,0.12049507,Roots
BCR2.1,0.28752474,0.60861387,0.10386139,Roots
BCR1.6,0.162277208643563,0.633762393653466,0.203960397702971,Roots
FIR2.6,0.548217803039605,0.0159406091881181,0.435841587772277,Roots
FIR2.1,0.440495057980198,0.0481188178514832,0.511386124168319,Roots
BBR2.6,0.63356435089109,0.25316831270297,0.11326733640594,Roots
SFR2.1,0.58336632,0.30861387,0.10801981,Roots
ORR1.1,0.544158431118812,0.36722771719802,0.0886138516831682,Roots
IRR1.20,0.561584141069307,0.339504967128713,0.0989108918019802,Roots
SDR2.1,0.323960403851485,0.405742583237624,0.270297012910891,Roots
SDR1.1,0.320495053277228,0.559009879128713,0.120495067594059,Roots
MXR2.20,0.753861418108913,0.0617821528910873,0.184356429,Roots
SFR1.1,0.533762369089109,0.351782173178218,0.114455457732673,Roots
MXR1.1,0.53079211,0.38099008,0.08821781,Roots
SFR2.20,0.850693044792081,0.101089106554455,0.0482178486534641,Roots
IRR2.6,0.422772295673267,0.46277224550495,0.114455458821782,Roots
BBR2.20,0.544950478148516,0.317326730158416,0.137722791693068,Roots
BBR2.1,0.565841554524753,0.329207946653465,0.104950498821782,Roots
IRR1.1,0.301188116861386,0.566039574584159,0.132772308554455,Roots
FRR1.20,0.10316832,0.81316833,0.08366335,Roots
SFR1.20,0.686039613554458,0.0555445612079192,0.258415825237623,Roots
IRR1.6,0.460297031217822,0.43435643109901,0.105346537683168,Roots
FRR2.20,0.145346533326732,0.628415828207922,0.226237638465346,Roots
SDR1.20,0.41891091,0.50900991,0.07207918,Roots
MXR1.20,0.161485127277227,0.725445555306931,0.113069317415841,Roots
BCR1.1,0.281881186584159,0.649108939534655,0.0690098738811864,Roots
WAR2.1,0.33603961420792,0.576336632574258,0.0876237532178213,Roots
ORR1.20,0.646534683435644,0.293069305405941,0.0603960111584151,Roots
BBR1.1,0.0181188286930681,0.832673241445548,0.149207929861384,Roots
MXR2.1,0.691287129138614,0.134059420485148,0.174653450376237,Roots
ORR2.1,0.356039608009901,0.560891098138615,0.0830692938514844,Roots
IRR2.1,0.4147524639901,0.446237613950496,0.139009922059404,Roots
BBR1.20,0.253861387653465,0.654950499732674,0.0911881126138613,Roots
SDR2.6,0.20831684,0.48801979,0.30366337,Roots
FRR1.6,0.144455437316831,0.743465345099011,0.112079217584158,Roots
SDR1.6,0.349702966930693,0.391287125158416,0.259009907910891,Roots
WAR2.20,0.364554440742574,0.588514857673269,0.0469307015841572,Roots
FRR2.1,0.0178217988712861,0.932574233980202,0.0496039671485123,Roots
NCR2.6,0.5980198,0.09297029,0.30900991,Roots
ESR1.1,0.761980197564357,0.147623771663366,0.0903960307722771,Roots
VAR2.20,0.176039588564356,0.806831681643565,0.017128729792079,Roots
NCR1.6,0.51326734,0.21257427,0.27415839,Roots
ESR2.1,0.529405944534654,0.161188108594059,0.309405946871287,Roots
ESR1.6,0.518613858435644,0.156435637752475,0.324950503811881,Roots
NCR2.1,0.53356439,0.17217819,0.29425742,Roots
ESR1.20,0.606930705564357,0.216831692643564,0.176237601792079,Roots
ESR2.6,0.702970313326735,0.143168313514851,0.153861373158415,Roots
MAR1.1,0.729801973049507,0.150693063336633,0.119504963613861,Roots
MAR1.20,0.138415843376237,0.136930713158415,0.724653443465349,Roots
MAR2.6,0.701188118861389,0.0497029704158393,0.249108910722771,Roots
MAR2.1,0.797128701722773,0.036336669732673,0.166534628544554,Roots
LIR2.1,0.756138653544557,0.184554452326732,0.0593068941287104,Roots
VAR2.6,0.54415841,0.34811881,0.10772278,Roots
QUR1.6,0.268910900485148,0.656237636475249,0.0748514630396033,Roots
LIR2.6,0.516930688455447,0.43574257218812,0.0473267393564333,Roots
NCR1.1,0.550792075099011,0.144950498851484,0.304257426049506,Roots
LIR1.20,0.138811875752474,0.842772264782179,0.0184158594653461,Roots
VAR1.1,0.539702991247525,0.381089107188119,0.0792079015643562,Roots
NCR2.20,0.391089111148515,0.25673265790099,0.352178230950495,Roots
ESR2.20,0.38297028749505,0.535940621069307,0.0810890914356431,Roots
MAR2.20,0.71524754,0.080198,0.20455446,Roots
LIR1.1,0.516633659297031,0.433168321564357,0.0501980191386122,Roots
QUR1.1,0.309405936633663,0.483366335564356,0.20722772780198,Roots
QUR1.20,0.596633648079208,0.300495064079208,0.102871287841584,Roots
LIR1.6,0.388514835643564,0.584950484574258,0.026534679782178,Roots
LIR2.20,0.838415860069308,0.0609900800990091,0.100594059831683,Roots
QUR2.1,0.46198018819802,0.509801963247526,0.0282178485544541,Roots
QUR2.20,0.49267323939604,0.469504941336634,0.0378218192673261,Roots
QUR2.6,0.445742552524753,0.516534639079209,0.0377228083960382,Roots
VAR1.20,0.6250495009901,0.258910882762376,0.116039616247524,Roots
JSR2.1,0.7388118509703,0.0273267576633642,0.233861391366336,Roots
KOR2.6,0.722673265178219,0.017326749574257,0.259999985247524,Roots
JSR2.6,0.68762375,0.02297032,0.28940593,Roots
KOR2.20,0.0356436,0.00633664,0.95801976,Roots
JSR1.1,0.332376239990099,0.0315841690396031,0.636039590970298,Roots
KOR1.1,0.52910892909901,0.00970297971287103,0.461188091188119,Roots
JNR1.6,0.48554454,0.03178221,0.48267325,Roots
JSR2.20,0.56811878,0.0128713,0.41900992,Roots
JNR1.1,0.630693050940595,0.0222772492772271,0.347029699782178,Roots
JNR1.20,0.602673263267328,0.0388119097623751,0.358514826970297,Roots
JNR2.20,0.462970298712872,0.189801976970297,0.347227724316831,Roots
JSR1.20,0.27504948,0.01277229,0.71217823,Roots
KOR2.1,0.377128703118812,0.0225742794257421,0.600297017455446,Roots
KOR1.6,0.4108911,0.02356438,0.56554452,Roots
JSR1.6,0.557029679019802,0.016831699633663,0.426138621346535,Roots
JNR2.1,0.6474257699901,0.0596039319009883,0.292970298108911,Roots
JNR2.6,0.659702947138614,0.0283168494554451,0.311980203405941,Roots
KOR1.20,0.0670296805643561,0.500990104722773,0.431980214712871,Roots
