Estimate	Std..Error	z.value	p	otu	effect	p.adjust	class	order	family	genus	sp
2.06021017917897	0.528443339029527	3.89863969704396	9.67345872842079e-05	256904	Sediment	0.00060699419674319	Ellin6529	NA	NA	NA	NA
2.43007692632001	0.56792275051106	4.27888638751175	1.87830701506527e-05	323057	Sediment	0.000147677224389774	Cytophagia	Cytophagales	Flammeovirgaceae	NA	NA
2.28819633908456	0.57375110888435	3.98813405961676	6.65950296543183e-05	154279	Sediment	0.000441685023495058	Deltaproteobacteria	[Entotheonellales]	NA	NA	NA
1.47125108359495	0.485979668131505	3.02739225542421	0.00246673634086276	549936	Sediment	0.00948278639303422	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	NA
1.79565044198381	0.423176352941529	4.24326744512569	2.20288641421235e-05	175084	Roots	0.000169163437965906	Bacteroidia	Bacteroidales	NA	NA	NA
2.26799364821902	0.282036131688606	8.04150033770528	8.8745102157972e-16	873645	Sediment	6.93145955802265e-14	Gammaproteobacteria	Chromatiales	NA	NA	NA
1.1576707386517	0.309159851162412	3.74457011251289	0.000180702911332386	187417	Sediment	0.00103717401147018	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	NA
1.55691987814971	0.480432499364768	3.24066311127637	0.00119252025652912	109275	Sediment	0.00511104710668436	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA	NA
2.65250339115653	0.418774007765846	6.33397331727345	2.38926851019402e-10	109274	Roots	5.49716971957817e-09	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA	NA
2.65753632997896	0.318936549857484	8.33249225015595	7.91580418905632e-17	511329	Sediment	7.01316621884154e-15	Gammaproteobacteria	NA	NA	NA	NA
2.74575403872445	0.300464892777139	9.13835228251119	6.34110756710394e-20	109273	Roots	1.29795912132169e-17	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA	NA
2.29537970927208	0.28250248796443	8.12516635096358	4.46749270857438e-16	109272	Roots	3.73507559409824e-14	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA	NA
2.56575874584416	0.509580378412885	5.03504227112383	4.77743397283438e-07	515517	Sediment	5.58245040605214e-06	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA	NA
1.81747949458947	0.541539408036523	3.3561352463326	0.000790399058210897	593167	Sediment	0.0035842695260045	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	NA
2.04170121369684	0.670262599161488	3.04612135042452	0.00231814254991955	406821	Sediment	0.00902327486972059	Planctomycetia	Pirellulales	Pirellulaceae	NA	NA
1.95399425099789	0.591170485340931	3.30529737097922	0.000948756788712919	281078	Sediment	0.00422492145371334	PRR-12	GN03	KSB4	NA	NA
2.71229649196627	0.464746416947575	5.83607832800619	5.34437789065319e-09	837519	Water	9.11615722957395e-08	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Portiera	NA
1.23506339139327	0.25420807208107	4.85847432491992	1.18293744987267e-06	826101	Sediment	1.2652102166566e-05	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	NA	NA
1.70522897707436	0.476106018419584	3.58161609200992	0.000341475337387406	261043	Roots	0.00177650973070258	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Amphritea	NA
4.08144115738413	1.03103585213989	3.95858315587493	7.53956913734404e-05	1609472	Sediment	0.000491272035118288	NA	NA	NA	NA	NA
3.35447287858112	0.49617234617088	6.76070100332808	1.37325664380395e-11	1609471	Sediment	3.91906319116357e-10	NA	NA	NA	NA	NA
1.15792881741512	0.329474388048428	3.51447292845393	0.000440627580884981	560245	Sediment	0.00218875759006966	Gammaproteobacteria	Alteromonadales	OM60	NA	NA
1.44425255514592	0.441511808031317	3.27115272768304	0.00107110048192666	223812	Roots	0.0046819237560508	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA	NA
2.64291089883327	0.443170219646305	5.96364733384519	2.46668828926231e-09	760372	Roots	4.56145223833679e-08	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	NA	NA
2.98430356075093	0.364884708048513	8.17875754977969	2.86785480643047e-16	792011	Sediment	2.46718639579293e-14	Deltaproteobacteria	Myxococcales	NA	NA	NA
2.78662663196643	0.360472880314692	7.73047511794428	1.07145932144712e-14	253178	Roots	6.23547307069616e-13	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	NA	NA
2.27843015095889	0.280742789453498	8.11572099641152	4.82909025339897e-16	303000	Sediment	3.98131663113559e-14	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	NA	NA
4.2018748530387	0.739463629690061	5.68232795276203	1.32873554941144e-08	1107568	Sediment	2.08110137765339e-07	Planctomycetia	Pirellulales	Pirellulaceae	NA	NA
1.55137411147933	0.495482268156898	3.13103860860683	0.001741892587834	1097208	Leaf	0.00706758332288627	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus
1.06611031734646	0.250499063549905	4.25594532066609	2.08167581278085e-05	345757	Sediment	0.000161950558645703	Planctomycetia	Pirellulales	Pirellulaceae	NA	NA
1.71596054324978	0.504579111985995	3.4007760180477	0.000671948603661882	591043	Sediment	0.00313822731025742	Gammaproteobacteria	Chromatiales	NA	NA	NA
4.47867282001795	1.02717604442829	4.36018036471121	1.29955282543792e-05	42970	Roots	0.00010728992450347	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA
1.49916338197381	0.456461876844689	3.28431235558341	0.00102231549727695	606758	Sediment	0.00449849132085708	[Saprospirae]	[Saprospirales]	NA	NA	NA
3.8307600413473	1.0356208512914	3.69899856358668	0.000216451825827367	4370563	Sediment	0.00120305059748248	RB25	NA	NA	NA	NA
1.72276659624348	0.319967093694514	5.3841992823433	7.27678485160373e-08	404788	Water	9.86187097696798e-07	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus	NA
3.20337163832934	0.647479704135513	4.94744718308405	7.51930975350218e-07	356304	Water	8.48566971421905e-06	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	NA	NA
3.55057478241427	0.747064471584413	4.7527019654462	2.00716107722294e-06	709006	Sediment	2.01258583689111e-05	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	NA	NA
2.99155679918924	0.576629918714219	5.18800135424792	2.12563058208243e-07	318137	Water	2.66197112557834e-06	[Rhodothermi]	[Rhodothermales]	[Balneolaceae]	Balneola	NA
1.81747949458947	0.541539408036517	3.35613524633263	0.000790399058210806	784506	Sediment	0.0035842695260045	Betaproteobacteria	NA	NA	NA	NA
2.06021017917898	0.528443339029527	3.89863969704397	9.67345872842057e-05	201237	Sediment	0.00060699419674319	MBGB	NA	NA	NA	NA
