s.Leaf	s.Roots	s.Sediment	s.Water	index	stat	p.value	Leaf.A	Roots.A	Sediment.A	Water.A	Leaf.B	Roots.B	Sediment.B	Water.B	p.adjust	phylum	class	order	family	genus	sp
1	0	0	0	1	0.268284478111267	0.005	0.56681541941405	0.107565437926874	0.118131837223647	0.20748730543543	0.126984126984127	0.025	0.0403225806451613	0.0681818181818182	0.00868587491215741	[Thermi]	Deinococci	Thermales	Thermaceae	Meiothermus	NA
1	0	0	0	1	0.448066516086874	0.004	0.421603565960281	0.122839342260886	0.110248637986966	0.345308453791868	0.476190476190476	0.216666666666667	0.233870967741935	0.477272727272727	0.00716521739130435	Acidobacteria	[Chloracidobacteria]	[Chloracidobacterales]	[Chloracidobacteraceae]	Candidatus Chloracidobacterium	NA
1	0	0	0	1	0.562317503541443	0.001	0.76617928506585	0.103374794257679	0.0737807130343073	0.0566652076421641	0.412698412698413	0.2	0.169354838709677	0.0795454545454545	0.00217605633802817	Actinobacteria	Acidimicrobiia	Acidimicrobiales	JdFBGBact	NA	NA
1	0	0	0	1	0.369089134097935	0.001	0.780207972843389	0.107678490347081	0.0845470502011096	0.0275664866084203	0.174603174603175	0.1	0.0887096774193548	0.0340909090909091	0.00217605633802817	Actinobacteria	Acidimicrobiia	Acidimicrobiales	JdFBGBact	NA	NA
1	0	0	0	1	0.254980595872287	0.003	0.819190313819471	0.147963613871769	0.03284607230876	0	0.0793650793650794	0.0333333333333333	0.00806451612903226	0	0.00559698113207547	Actinobacteria	Acidimicrobiia	Acidimicrobiales	JdFBGBact	NA	NA
1	0	0	0	1	0.340085036046951	0.004	0.662403945437501	0.214970045416493	0.101137930417201	0.0214880787288053	0.174603174603175	0.133333333333333	0.0887096774193548	0.0227272727272727	0.00716521739130435	Actinobacteria	Acidimicrobiia	Acidimicrobiales	NA	NA	NA
1	0	0	0	1	0.276167882755565	0.001	0.800821344389763	0.150137801079244	0.049040854530993	0	0.0952380952380952	0.0416666666666667	0.0161290322580645	0	0.00217605633802817	Bacteroidetes	[Rhodothermi]	[Rhodothermales]	Rhodothermaceae	NA	NA
1	0	0	0	1	0.298085367468322	0.001	0.799693976688519	0.113770155665803	0.0235794621783076	0.0629564054673697	0.111111111111111	0.0333333333333333	0.00806451612903226	0.0227272727272727	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	Lewinella	cohaerens
1	0	0	0	1	0.419667181438043	0.001	0.924632851674796	0.0672877833184843	0.00807936500671989	0	0.19047619047619	0.05	0.00806451612903226	0	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	Lewinella	NA
1	0	0	0	1	0.527802300427216	0.001	0.835725805008783	0.104336280052178	0.0255966169495927	0.0343412979894473	0.333333333333333	0.175	0.0806451612903226	0.0227272727272727	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	Lewinella	persicus
1	0	0	0	1	0.502507655260918	0.001	0.691668628110306	0.167589060442504	0.0682368007774243	0.0725055106697662	0.365079365079365	0.108333333333333	0.120967741935484	0.0454545454545455	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	Lewinella	cohaerens
1	0	0	0	1	0.415949967993127	0.001	0.838454283079189	0.107674236408549	0.0128492649273035	0.0410222155849582	0.206349206349206	0.0833333333333333	0.0161290322580645	0.0340909090909091	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	Lewinella	persicus
1	0	0	0	1	0.264685071724109	0.003	0.735610965532766	0.17308271607866	0.0383395404795262	0.0529667779090483	0.0952380952380952	0.0333333333333333	0.00806451612903226	0.0113636363636364	0.00559698113207547	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	Saprospira	NA
1	0	0	0	1	0.413257903993583	0.001	0.768519428459262	0.108962569796331	0.100204195370083	0.0223138063743233	0.222222222222222	0.0916666666666667	0.104838709677419	0.0227272727272727	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.448298619761576	0.001	0.904372436160603	0.0752261591933675	0	0.0204014046460298	0.222222222222222	0.025	0	0.0113636363636364	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.758666068258901	0.001	0.929773712744294	0.0348912639238798	0.0156931742148477	0.0196418491169782	0.619047619047619	0.15	0.0967741935483871	0.0681818181818182	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.508952269784748	0.001	0.906613445216666	0.0752805602398764	0	0.0181059945434578	0.285714285714286	0.075	0	0.0227272727272727	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.445157822426884	0.001	0.780276604542141	0.0913987067623374	0.0499501249441978	0.0783745637513237	0.253968253968254	0.15	0.104838709677419	0.102272727272727	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.36614785548446	0.001	0.767822534616342	0.171117010080157	0.00795568307902545	0.0531047722244749	0.174603174603175	0.0666666666666667	0.00806451612903226	0.0340909090909091	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.324301079551977	0.001	0.828223122813801	0.0511900899205276	0.120586787265671	0	0.126984126984127	0.0166666666666667	0.0483870967741935	0	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.606717735385948	0.001	0.828239423471671	0.100412519736859	0.0320426842911793	0.0393053725002914	0.444444444444444	0.266666666666667	0.137096774193548	0.170454545454545	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.356550054227279	0.001	0.728096390334269	0.201408086096152	0.0381289650089845	0.0323665585605948	0.174603174603175	0.0666666666666667	0.0161290322580645	0.0113636363636364	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.542169467332345	0.001	0.805161177059505	0.109111063087929	0.0515567290726655	0.0341710307799012	0.365079365079365	0.2	0.137096774193548	0.0454545454545455	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.439811922358538	0.002	0.580303581146138	0.207783413163317	0.0690266161695066	0.142886389521039	0.333333333333333	0.308333333333333	0.185483870967742	0.102272727272727	0.00393630573248408	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.304859942117551	0.001	0.731899226424843	0.00714071167405681	0.00205018868492736	0.258909873216173	0.126984126984127	0.0166666666666667	0.00806451612903226	0.0113636363636364	0.00217605633802817	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	NA	NA
1	0	0	0	1	0.355158296520097	0.001	0.72242338018042	0.201076698219105	0.0452566774682994	0.0312432441321759	0.174603174603175	0.0666666666666667	0.0241935483870968	0.0113636363636364	0.00217605633802817	Bacteroidetes	BME43	NA	NA	NA	NA
1	0	0	0	1	0.335574040400432	0.001	0.886803250651534	0.100984642731711	0.0122121066167547	0	0.126984126984127	0.1	0.0161290322580645	0	0.00217605633802817	Bacteroidetes	BME43	NA	NA	NA	NA
1	0	0	0	1	0.286063880807338	0.005	0.64443128323262	0.186583335831912	0.121648165933313	0.0473372150021551	0.126984126984127	0.075	0.0483870967741935	0.0227272727272727	0.00868587491215741	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	NA	NA
1	0	0	0	1	0.32601772967498	0.001	0.669611628393297	0.111419616166997	0.179428332759672	0.0395404226800332	0.158730158730159	0.0583333333333333	0.0645161290322581	0.0227272727272727	0.00217605633802817	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	NA	NA
1	0	0	0	1	0.500509550679508	0.001	0.789105902512419	0.127245919839777	0.0206497439022816	0.0629984337455221	0.317460317460317	0.125	0.032258064516129	0.0454545454545455	0.00217605633802817	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	NA
