"","from","to"
"1","S-Adenosyl-L-methionine","L-Methionine"
"2","S-Adenosyl-L-methionine","H+"
"3","S-Adenosyl-L-methionine","BIOT"
"4","S-Adenosyl-L-methionine","5'-Deoxyadenosine"
"5","S","L-Methionine"
"6","S","H+"
"7","S","BIOT"
"8","S","5'-Deoxyadenosine"
"9","Dethiobiotin","L-Methionine"
"10","Dethiobiotin","H+"
"11","Dethiobiotin","BIOT"
"12","Dethiobiotin","5'-Deoxyadenosine"
"13","H2O","D-Glucose"
"14","Maltose","D-Glucose"
"15","CoA","Myristoyl-ACP"
"16","CoA","Myristoyl-CoA"
"17","CoA","ACP"
"18","Myristoyl-ACP","CoA"
"19","Myristoyl-ACP","Myristoyl-CoA"
"20","Myristoyl-ACP","ACP"
"21","Myristoyl-CoA","CoA"
"22","Myristoyl-CoA","Myristoyl-ACP"
"23","Myristoyl-CoA","ACP"
"24","ACP","CoA"
"25","ACP","Myristoyl-ACP"
"26","ACP","Myristoyl-CoA"
"27","Malonyl-acyl-carrierprotein-","CO2"
"28","Malonyl-acyl-carrierprotein-","ACP"
"29","Malonyl-acyl-carrierprotein-","9-methyl-3-oxo-decanoyl-ACP"
"30","7-methyl-octanoyl-ACP","CO2"
"31","7-methyl-octanoyl-ACP","ACP"
"32","7-methyl-octanoyl-ACP","9-methyl-3-oxo-decanoyl-ACP"
"33","Malonyl-acyl-carrierprotein-","CO2"
"34","Malonyl-acyl-carrierprotein-","ACP"
"35","Malonyl-acyl-carrierprotein-","8-methyl-3-oxo-decanoyl-ACP"
"36","6-methyl-octanoyl-ACP","CO2"
"37","6-methyl-octanoyl-ACP","ACP"
"38","6-methyl-octanoyl-ACP","8-methyl-3-oxo-decanoyl-ACP"
"39","Malonyl-acyl-carrierprotein-","CO2"
"40","Malonyl-acyl-carrierprotein-","ACP"
"41","Malonyl-acyl-carrierprotein-","15-methyl-3-oxo-hexa-decanoyl-ACP"
"42","13-methyl-tetra-decanoyl-ACP","CO2"
"43","13-methyl-tetra-decanoyl-ACP","ACP"
"44","13-methyl-tetra-decanoyl-ACP","15-methyl-3-oxo-hexa-decanoyl-ACP"
"45","H2O","Taurochenodeoxycholate"
"46","H2O","Taurine"
"47","H2O","Chenodiol"
"48","Taurochenodeoxycholate","H2O"
"49","Taurochenodeoxycholate","Taurine"
"50","Taurochenodeoxycholate","Chenodiol"
"51","Taurine","H2O"
"52","Taurine","Taurochenodeoxycholate"
"53","Taurine","Chenodiol"
"54","Chenodiol","H2O"
"55","Chenodiol","Taurochenodeoxycholate"
"56","Chenodiol","Taurine"
"57","Malonyl-acyl-carrierprotein-","CO2"
"58","Malonyl-acyl-carrierprotein-","ACP"
"59","Malonyl-acyl-carrierprotein-","13-methyl-3-oxo-tetra-decanoyl-ACP"
"60","11-methyl-dodecanoyl-ACP","CO2"
"61","11-methyl-dodecanoyl-ACP","ACP"
"62","11-methyl-dodecanoyl-ACP","13-methyl-3-oxo-tetra-decanoyl-ACP"
"63","CoA","H+"
"64","CoA","Octodecanoyl-ACP"
"65","CoA","strcoa"
"66","CoA","ACP"
"67","H+","CoA"
"68","H+","Octodecanoyl-ACP"
"69","H+","strcoa"
"70","H+","ACP"
"71","Octodecanoyl-ACP","CoA"
"72","Octodecanoyl-ACP","H+"
"73","Octodecanoyl-ACP","strcoa"
"74","Octodecanoyl-ACP","ACP"
"75","strcoa","CoA"
"76","strcoa","H+"
"77","strcoa","Octodecanoyl-ACP"
