"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"8","Lipoamide","TPP"
"9","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"10","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"11","2-Methyl-1-hydroxypropyl-TPP","TPP"
"12","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"13","TPP","Lipoamide"
"14","TPP","2-Methyl-1-hydroxypropyl-TPP"
"15","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"16","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"17","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"18","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"19","PRPP","PPi"
"20","PRPP","H+"
"21","PRPP","IMP"
"22","HYXN","PPi"
"23","HYXN","H+"
"24","HYXN","IMP"
"25","H+","Adenosine"
"26","H+","Adenosine"
"27","Adenosine","H+"
"28","Adenosine","H+"
"29","H2O","ADP"
"30","H2O","Phosphate"
"31","H2O","H+"
"32","ATP","ADP"
"33","ATP","Phosphate"
"34","ATP","H+"
"35","ATP","CMP"
"36","ATP","H+"
"37","ATP","ADP"
"38","ATP","CDP"
"39","CMP","ATP"
"40","CMP","H+"
"41","CMP","ADP"
"42","CMP","CDP"
"43","H+","ATP"
"44","H+","CMP"
"45","H+","ADP"
"46","H+","CDP"
"47","ADP","ATP"
"48","ADP","CMP"
"49","ADP","H+"
"50","ADP","CDP"
"51","CDP","ATP"
"52","CDP","CMP"
"53","CDP","H+"
"54","CDP","ADP"
"55","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"56","UDP-N-acetylglucosamine","UDP"
"57","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"58","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"59","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"60","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"61","UDP","UDP-N-acetylglucosamine"
"62","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"63","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"64","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"65","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"66","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"67","H2O","Pyruvate"
"68","H2O","2,3-Dihydroxy-2,3-dihydrobenzoate"
"69","Isochorismate","Pyruvate"
"70","Isochorismate","2,3-Dihydroxy-2,3-dihydrobenzoate"
"71","ATP","PPi"
"72","ATP","AMP"
"73","ATP","fa6coa"
"74","CoA","PPi"
"75","CoA","AMP"
"76","CoA","fa6coa"
"77","fa6","PPi"
"78","fa6","AMP"
"79","fa6","fa6coa"
"80","NADH","NAD"
"81","NADH","7-methyl-octanoyl-ACP"
"82","H+","NAD"
"83","H+","7-methyl-octanoyl-ACP"
"84","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"85","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"86","ATP","ADP"
"87","ATP","CO2"
"88","ATP","Phosphoenolpyruvate"
"89","Oxaloacetate","ADP"
"90","Oxaloacetate","CO2"
"91","Oxaloacetate","Phosphoenolpyruvate"
"92","Lipoamide","2-Hydroxyethyl-ThPP"
"93","Lipoamide","TPP"
"94","Lipoamide","S-Acetyldihydrolipoamide"
"95","2-Hydroxyethyl-ThPP","Lipoamide"
"96","2-Hydroxyethyl-ThPP","TPP"
"97","2-Hydroxyethyl-ThPP","S-Acetyldihydrolipoamide"
"98","TPP","Lipoamide"
"99","TPP","2-Hydroxyethyl-ThPP"
"100","TPP","S-Acetyldihydrolipoamide"
"101","S-Acetyldihydrolipoamide","Lipoamide"
"102","S-Acetyldihydrolipoamide","2-Hydroxyethyl-ThPP"
"103","S-Acetyldihydrolipoamide","TPP"
"104","NADP","(S)-3-Hydroxybutyryl-CoA"
"105","NADP","NADPH"
"106","NADP","H+"
"107","NADP","Acetoacetyl-CoA"
"108","(S)-3-Hydroxybutyryl-CoA","NADP"
"109","(S)-3-Hydroxybutyryl-CoA","NADPH"
"110","(S)-3-Hydroxybutyryl-CoA","H+"
"111","(S)-3-Hydroxybutyryl-CoA","Acetoacetyl-CoA"
"112","NADPH","NADP"
"113","NADPH","(S)-3-Hydroxybutyryl-CoA"
