"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","Lipoamide","2-Methyl-1-hydroxypropyl-TPP"
"8","Lipoamide","TPP"
"9","Lipoamide","S-(2-Methylpropionyl)-dihydrolipoamide"
"10","2-Methyl-1-hydroxypropyl-TPP","Lipoamide"
"11","2-Methyl-1-hydroxypropyl-TPP","TPP"
"12","2-Methyl-1-hydroxypropyl-TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"13","TPP","Lipoamide"
"14","TPP","2-Methyl-1-hydroxypropyl-TPP"
"15","TPP","S-(2-Methylpropionyl)-dihydrolipoamide"
"16","S-(2-Methylpropionyl)-dihydrolipoamide","Lipoamide"
"17","S-(2-Methylpropionyl)-dihydrolipoamide","2-Methyl-1-hydroxypropyl-TPP"
"18","S-(2-Methylpropionyl)-dihydrolipoamide","TPP"
"19","H2O","N-Acyl-L-aspartate"
"20","H2O","L-Aspartate"
"21","H2O","Carboxylic acid"
"22","N-Acyl-L-aspartate","H2O"
"23","N-Acyl-L-aspartate","L-Aspartate"
"24","N-Acyl-L-aspartate","Carboxylic acid"
"25","L-Aspartate","H2O"
"26","L-Aspartate","N-Acyl-L-aspartate"
"27","L-Aspartate","Carboxylic acid"
"28","Carboxylic acid","H2O"
"29","Carboxylic acid","N-Acyl-L-aspartate"
"30","Carboxylic acid","L-Aspartate"
"31","H+","Adenosine"
"32","H+","Adenosine"
"33","Adenosine","H+"
"34","Adenosine","H+"
"35","H2O","LacCer"
"36","H2O","Galactose"
"37","H2O","Glucocerebroside"
"38","LacCer","H2O"
"39","LacCer","Galactose"
"40","LacCer","Glucocerebroside"
"41","Galactose","H2O"
"42","Galactose","LacCer"
"43","Galactose","Glucocerebroside"
"44","Glucocerebroside","H2O"
"45","Glucocerebroside","LacCer"
"46","Glucocerebroside","Galactose"
"47","Acetyl-CoA","CoA"
"48","Acetyl-CoA","O-Acetyl-L-serine"
"49","L-Serine","CoA"
"50","L-Serine","O-Acetyl-L-serine"
"51","ATP","CMP"
"52","ATP","H+"
"53","ATP","ADP"
"54","ATP","CDP"
"55","CMP","ATP"
"56","CMP","H+"
"57","CMP","ADP"
"58","CMP","CDP"
"59","H+","ATP"
"60","H+","CMP"
"61","H+","ADP"
"62","H+","CDP"
"63","ADP","ATP"
"64","ADP","CMP"
"65","ADP","H+"
"66","ADP","CDP"
"67","CDP","ATP"
"68","CDP","CMP"
"69","CDP","H+"
"70","CDP","ADP"
"71","H+","Fumarate"
"72","H+","Fumarate"
"73","Fumarate","H+"
"74","Fumarate","H+"
"75","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"76","UDP-N-acetylglucosamine","UDP"
"77","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"78","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"79","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"80","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"81","UDP","UDP-N-acetylglucosamine"
"82","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"83","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"84","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"85","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"86","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"87","ATP","PPi"
"88","ATP","AMP"
"89","ATP","fa6coa"
"90","CoA","PPi"
"91","CoA","AMP"
"92","CoA","fa6coa"
"93","fa6","PPi"
"94","fa6","AMP"
"95","fa6","fa6coa"
"96","NADH","NAD"
"97","NADH","7-methyl-octanoyl-ACP"
"98","H+","NAD"
"99","H+","7-methyl-octanoyl-ACP"
"100","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"101","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"102","ATP","dCDP"
"103","ATP","ADP"
"104","ATP","dCTP"
"105","dCDP","ATP"
"106","dCDP","ADP"
"107","dCDP","dCTP"
"108","ADP","ATP"
"109","ADP","dCDP"
"110","ADP","dCTP"
"111","dCTP","ATP"
"112","dCTP","dCDP"
"113","dCTP","ADP"
"114","ATP","ADP"
"115","ATP","CO2"
"116","ATP","Phosphoenolpyruvate"
"117","Oxaloacetate","ADP"
"118","Oxaloacetate","CO2"
"119","Oxaloacetate","Phosphoenolpyruvate"
"120","Lipoamide","2-Hydroxyethyl-ThPP"
"121","Lipoamide","TPP"
"122","Lipoamide","S-Acetyldihydrolipoamide"
