"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","PRPP","PPi"
"8","PRPP","H+"
"9","PRPP","IMP"
"10","HYXN","PPi"
"11","HYXN","H+"
"12","HYXN","IMP"
"13","H+","Adenosine"
"14","H+","Adenosine"
"15","Adenosine","H+"
"16","Adenosine","H+"
"17","H2O","LacCer"
"18","H2O","Galactose"
"19","H2O","Glucocerebroside"
"20","LacCer","H2O"
"21","LacCer","Galactose"
"22","LacCer","Glucocerebroside"
"23","Galactose","H2O"
"24","Galactose","LacCer"
"25","Galactose","Glucocerebroside"
"26","Glucocerebroside","H2O"
"27","Glucocerebroside","LacCer"
"28","Glucocerebroside","Galactose"
"29","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"30","UDP-glucose","UDP"
"31","UDP-glucose","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"32","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP-glucose"
"33","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","UDP"
"34","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"35","UDP","UDP-glucose"
"36","UDP","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"37","UDP","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted"
"38","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP-glucose"
"39","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","Palmitoyllipoteichoic acid (n=24), linked, unsubstituted"
"40","Palmitoyllipoteichoic acid (n=24), linked, glucose substituted","UDP"
"41","ATP","CMP"
"42","ATP","H+"
"43","ATP","ADP"
"44","ATP","CDP"
"45","CMP","ATP"
"46","CMP","H+"
"47","CMP","ADP"
"48","CMP","CDP"
"49","H+","ATP"
"50","H+","CMP"
"51","H+","ADP"
"52","H+","CDP"
"53","ADP","ATP"
"54","ADP","CMP"
"55","ADP","H+"
"56","ADP","CDP"
"57","CDP","ATP"
"58","CDP","CMP"
"59","CDP","H+"
"60","CDP","ADP"
"61","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"62","UDP-N-acetylglucosamine","UDP"
"63","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"64","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"65","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"66","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"67","UDP","UDP-N-acetylglucosamine"
"68","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"69","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"70","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"71","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"72","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"73","ATP","PPi"
"74","ATP","AMP"
"75","ATP","fa6coa"
"76","CoA","PPi"
"77","CoA","AMP"
"78","CoA","fa6coa"
"79","fa6","PPi"
"80","fa6","AMP"
"81","fa6","fa6coa"
"82","NADH","NAD"
"83","NADH","7-methyl-octanoyl-ACP"
"84","H+","NAD"
"85","H+","7-methyl-octanoyl-ACP"
"86","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"87","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"88","ATP","ADP"
"89","ATP","CO2"
"90","ATP","Phosphoenolpyruvate"
"91","Oxaloacetate","ADP"
"92","Oxaloacetate","CO2"
"93","Oxaloacetate","Phosphoenolpyruvate"
"94","H2O","D-Glucose"
"95","Maltose","D-Glucose"
"96","dTDP-4-oxo-6-deoxy-D-glucose","dTDP-4-oxo-L-rhamnose"
"97","dTDP-4-oxo-L-rhamnose","dTDP-4-oxo-6-deoxy-D-glucose"
"98","UDP-apiose","Cosmetin"
"99","UDP-apiose","UDP"
"100","UDP-apiose","Apiin"
"101","Cosmetin","UDP-apiose"
"102","Cosmetin","UDP"
"103","Cosmetin","Apiin"
"104","UDP","UDP-apiose"
"105","UDP","Cosmetin"
"106","UDP","Apiin"
"107","Apiin","UDP-apiose"
"108","Apiin","Cosmetin"
"109","Apiin","UDP"
"110","O2","3-Hydroxyanthranilate"
"111","O2","H2O2"
"112","O2","H+"
"113","O2","O2-"
"114","O2","Cinnavalininate"
"115","3-Hydroxyanthranilate","O2"
"116","3-Hydroxyanthranilate","H2O2"
"117","3-Hydroxyanthranilate","H+"
