"","from","to"
"1","ABEE","PPi"
"2","ABEE","H+"
"3","ABEE","Dihydropteroate"
"4","7,8-Dihydropterin pyrophosphate","PPi"
"5","7,8-Dihydropterin pyrophosphate","H+"
"6","7,8-Dihydropterin pyrophosphate","Dihydropteroate"
"7","PRPP","PPi"
"8","PRPP","H+"
"9","PRPP","IMP"
"10","HYXN","PPi"
"11","HYXN","H+"
"12","HYXN","IMP"
"13","NAD","(R)-1,2-Propanediol"
"14","NAD","NADH"
"15","NAD","H+"
"16","NAD","D-Lactaldehyde"
"17","(R)-1,2-Propanediol","NAD"
"18","(R)-1,2-Propanediol","NADH"
"19","(R)-1,2-Propanediol","H+"
"20","(R)-1,2-Propanediol","D-Lactaldehyde"
"21","NADH","NAD"
"22","NADH","(R)-1,2-Propanediol"
"23","NADH","H+"
"24","NADH","D-Lactaldehyde"
"25","H+","NAD"
"26","H+","(R)-1,2-Propanediol"
"27","H+","NADH"
"28","H+","D-Lactaldehyde"
"29","D-Lactaldehyde","NAD"
"30","D-Lactaldehyde","(R)-1,2-Propanediol"
"31","D-Lactaldehyde","NADH"
"32","D-Lactaldehyde","H+"
"33","H+","Adenosine"
"34","H+","Adenosine"
"35","Adenosine","H+"
"36","Adenosine","H+"
"37","H2O","ADP"
"38","H2O","Phosphate"
"39","H2O","H+"
"40","ATP","ADP"
"41","ATP","Phosphate"
"42","ATP","H+"
"43","H2O","LacCer"
"44","H2O","Galactose"
"45","H2O","Glucocerebroside"
"46","LacCer","H2O"
"47","LacCer","Galactose"
"48","LacCer","Glucocerebroside"
"49","Galactose","H2O"
"50","Galactose","LacCer"
"51","Galactose","Glucocerebroside"
"52","Glucocerebroside","H2O"
"53","Glucocerebroside","LacCer"
"54","Glucocerebroside","Galactose"
"55","Acetyl-CoA","CoA"
"56","Acetyl-CoA","O-Acetyl-L-serine"
"57","L-Serine","CoA"
"58","L-Serine","O-Acetyl-L-serine"
"59","ATP","CMP"
"60","ATP","H+"
"61","ATP","ADP"
"62","ATP","CDP"
"63","CMP","ATP"
"64","CMP","H+"
"65","CMP","ADP"
"66","CMP","CDP"
"67","H+","ATP"
"68","H+","CMP"
"69","H+","ADP"
"70","H+","CDP"
"71","ADP","ATP"
"72","ADP","CMP"
"73","ADP","H+"
"74","ADP","CDP"
"75","CDP","ATP"
"76","CDP","CMP"
"77","CDP","H+"
"78","CDP","ADP"
"79","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"80","UDP-N-acetylglucosamine","UDP"
"81","UDP-N-acetylglucosamine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"82","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP-N-acetylglucosamine"
"83","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","UDP"
"84","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"85","UDP","UDP-N-acetylglucosamine"
"86","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"87","UDP","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala"
"88","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP-N-acetylglucosamine"
"89","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine"
"90","Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala","UDP"
"91","ATP","PPi"
"92","ATP","AMP"
"93","ATP","fa6coa"
"94","CoA","PPi"
"95","CoA","AMP"
"96","CoA","fa6coa"
"97","fa6","PPi"
"98","fa6","AMP"
"99","fa6","fa6coa"
"100","NADH","NAD"
"101","NADH","7-methyl-octanoyl-ACP"
"102","H+","NAD"
"103","H+","7-methyl-octanoyl-ACP"
"104","7-methyl-trans-oct-2-enoyl-ACP","NAD"
"105","7-methyl-trans-oct-2-enoyl-ACP","7-methyl-octanoyl-ACP"
"106","ATP","dCDP"
"107","ATP","ADP"
"108","ATP","dCTP"
"109","dCDP","ATP"
"110","dCDP","ADP"
"111","dCDP","dCTP"
"112","ADP","ATP"
"113","ADP","dCDP"
"114","ADP","dCTP"
"115","dCTP","ATP"
"116","dCTP","dCDP"
"117","dCTP","ADP"
"118","ATP","ADP"
"119","ATP","CO2"
"120","ATP","Phosphoenolpyruvate"
"121","Oxaloacetate","ADP"
"122","Oxaloacetate","CO2"
"123","Oxaloacetate","Phosphoenolpyruvate"
"124","GDP-mannose","H2O"
"125","GDP-mannose","GDP-4-dehydro-D-rhamnose"
"126","H2O","D-Glucose"
"127","Maltose","D-Glucose"
"128","CDPglycerol","Diglucosyl-1,2 diisohexadecanoylglycerol"
"129","CDPglycerol","CMP"
"130","CDPglycerol","H+"
"131","CDPglycerol","Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted"
"132","Diglucosyl-1,2 diisohexadecanoylglycerol","CDPglycerol"
"133","Diglucosyl-1,2 diisohexadecanoylglycerol","CMP"
