"","from","to"
"1","Acetyl-CoA","CoA"
"2","Acetyl-CoA","O-Acetyl-L-serine"
"3","L-Serine","CoA"
"4","L-Serine","O-Acetyl-L-serine"
"5","ATP","CMP"
"6","ATP","H+"
"7","ATP","ADP"
"8","ATP","CDP"
"9","CMP","ATP"
"10","CMP","H+"
"11","CMP","ADP"
"12","CMP","CDP"
"13","H+","ATP"
"14","H+","CMP"
"15","H+","ADP"
"16","H+","CDP"
"17","ADP","ATP"
"18","ADP","CMP"
"19","ADP","H+"
"20","ADP","CDP"
"21","CDP","ATP"
"22","CDP","CMP"
"23","CDP","H+"
"24","CDP","ADP"
"25","ATP","PPi"
"26","ATP","AMP"
"27","ATP","fa6coa"
"28","CoA","PPi"
"29","CoA","AMP"
"30","CoA","fa6coa"
"31","fa6","PPi"
"32","fa6","AMP"
"33","fa6","fa6coa"
"34","ATP","dCDP"
"35","ATP","ADP"
"36","ATP","dCTP"
"37","dCDP","ATP"
"38","dCDP","ADP"
"39","dCDP","dCTP"
"40","ADP","ATP"
"41","ADP","dCDP"
"42","ADP","dCTP"
"43","dCTP","ATP"
"44","dCTP","dCDP"
"45","dCTP","ADP"
"46","GDP-mannose","H2O"
"47","GDP-mannose","GDP-4-dehydro-D-rhamnose"
"48","Citrate","Isocitrate"
"49","Isocitrate","Citrate"
"50","H2O","NAD"
"51","H2O","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"52","H2O","NADH"
"53","H2O","H+"
"54","H2O","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"55","NAD","H2O"
"56","NAD","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"57","NAD","NADH"
"58","NAD","H+"
"59","NAD","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"60","trans-2-Methyl-5-isopropylhexa-2,5-dienal","H2O"
"61","trans-2-Methyl-5-isopropylhexa-2,5-dienal","NAD"
"62","trans-2-Methyl-5-isopropylhexa-2,5-dienal","NADH"
"63","trans-2-Methyl-5-isopropylhexa-2,5-dienal","H+"
"64","trans-2-Methyl-5-isopropylhexa-2,5-dienal","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"65","NADH","H2O"
"66","NADH","NAD"
"67","NADH","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"68","NADH","H+"
"69","NADH","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"70","H+","H2O"
"71","H+","NAD"
"72","H+","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"73","H+","NADH"
"74","H+","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid"
"75","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","H2O"
"76","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","NAD"
"77","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","trans-2-Methyl-5-isopropylhexa-2,5-dienal"
"78","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","NADH"
"79","trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid","H+"
"80","H+","Ubiquinol-8"
"81","H2","H+"
"82","H2","Ubiquinol-8"
"83","Ubiquinone-8","H+"
"84","Ubiquinone-8","Ubiquinol-8"
"85","H+","Oxalosuccinate"
"86","H+","CO2"
"87","H+","2-Oxoglutarate"
"88","Oxalosuccinate","H+"
"89","Oxalosuccinate","CO2"
"90","Oxalosuccinate","2-Oxoglutarate"
"91","CO2","H+"
"92","CO2","Oxalosuccinate"
"93","CO2","2-Oxoglutarate"
"94","2-Oxoglutarate","H+"
"95","2-Oxoglutarate","Oxalosuccinate"
"96","2-Oxoglutarate","CO2"
"97","L-Serine","CMP"
"98","L-Serine","H+"
"99","L-Serine","Diisohexadecanoylphosphatidylserine"
"100","CDP-1,2-diisohexadecanoylglycerol","CMP"
"101","CDP-1,2-diisohexadecanoylglycerol","H+"
"102","CDP-1,2-diisohexadecanoylglycerol","Diisohexadecanoylphosphatidylserine"
"103","H2O","gly-asp-L"
"104","H2O","Glycine"
"105","H2O","L-Aspartate"
"106","gly-asp-L","H2O"
"107","gly-asp-L","Glycine"
"108","gly-asp-L","L-Aspartate"
"109","Glycine","H2O"
"110","Glycine","gly-asp-L"
"111","Glycine","L-Aspartate"
"112","L-Aspartate","H2O"
"113","L-Aspartate","gly-asp-L"
"114","L-Aspartate","Glycine"
"115","ATP","Guanidinoethyl methyl phosphate"
"116","ATP","ADP"
"117","ATP","H+"
"118","ATP","N'-Phosphoguanidinoethyl methyl phosphate"
